enc_name,caption_type,participant,roi,rs
Qwen3 Embedding,MS COCO,1,all,0.1794555391427705
Qwen3 Embedding,MS COCO,2,all,0.1679965289231764
Qwen3 Embedding,MS COCO,3,all,0.1388706159074857
Qwen3 Embedding,MS COCO,4,all,0.1279310106312668
Qwen3 Embedding,MS COCO,5,all,0.2284926712638121
Qwen3 Embedding,MS COCO,6,all,0.1317539026296515
Qwen3 Embedding,MS COCO,7,all,0.0978629457226662
Qwen3 Embedding,MS COCO,8,all,0.1020542062669315
Qwen3 Embedding,MS COCO,1,places,0.1416910942741663
Qwen3 Embedding,MS COCO,2,places,0.1591716273226597
Qwen3 Embedding,MS COCO,3,places,0.1413011469667006
Qwen3 Embedding,MS COCO,4,places,0.1241652475978911
Qwen3 Embedding,MS COCO,5,places,0.212159821723941
Qwen3 Embedding,MS COCO,6,places,0.1457494263277602
Qwen3 Embedding,MS COCO,7,places,0.1195004244704139
Qwen3 Embedding,MS COCO,8,places,0.1014985733259753
Qwen3 Embedding,MS COCO,1,faces,0.1418031039410793
Qwen3 Embedding,MS COCO,2,faces,0.1084910389839924
Qwen3 Embedding,MS COCO,3,faces,0.121715299578975
Qwen3 Embedding,MS COCO,4,faces,0.06903210649644
Qwen3 Embedding,MS COCO,5,faces,0.210729344989329
Qwen3 Embedding,MS COCO,6,faces,0.1213128636648665
Qwen3 Embedding,MS COCO,7,faces,0.1019568178176891
Qwen3 Embedding,MS COCO,8,faces,0.0739241529664358
Qwen3 Embedding,MS COCO,1,bodies,0.2032908547110538
Qwen3 Embedding,MS COCO,2,bodies,0.1879765592766573
Qwen3 Embedding,MS COCO,3,bodies,0.1579860354254958
Qwen3 Embedding,MS COCO,4,bodies,0.1429149317923424
Qwen3 Embedding,MS COCO,5,bodies,0.2259237899481489
Qwen3 Embedding,MS COCO,6,bodies,0.1341319953268111
Qwen3 Embedding,MS COCO,7,bodies,0.1320502645596364
Qwen3 Embedding,MS COCO,8,bodies,0.0893519653199154
Qwen3 Embedding,LLaVA-OV,1,all,0.2483420855961028
Qwen3 Embedding,LLaVA-OV,2,all,0.2179788735863344
Qwen3 Embedding,LLaVA-OV,3,all,0.1581434397908418
Qwen3 Embedding,LLaVA-OV,4,all,0.1525341348669693
Qwen3 Embedding,LLaVA-OV,5,all,0.2591818552042083
Qwen3 Embedding,LLaVA-OV,6,all,0.144838066227385
Qwen3 Embedding,LLaVA-OV,7,all,0.1337302547401035
Qwen3 Embedding,LLaVA-OV,8,all,0.068441946106848
Qwen3 Embedding,LLaVA-OV,1,places,0.1317228417154264
Qwen3 Embedding,LLaVA-OV,2,places,0.1579564271991659
Qwen3 Embedding,LLaVA-OV,3,places,0.1107343471684591
Qwen3 Embedding,LLaVA-OV,4,places,0.1277809740827855
Qwen3 Embedding,LLaVA-OV,5,places,0.1950751566876268
Qwen3 Embedding,LLaVA-OV,6,places,0.1261140205708449
Qwen3 Embedding,LLaVA-OV,7,places,0.1170208620523649
Qwen3 Embedding,LLaVA-OV,8,places,0.0786830509571845
Qwen3 Embedding,LLaVA-OV,1,faces,0.228604090365411
Qwen3 Embedding,LLaVA-OV,2,faces,0.1615550071350605
Qwen3 Embedding,LLaVA-OV,3,faces,0.1460921809485887
Qwen3 Embedding,LLaVA-OV,4,faces,0.0950007809696625
Qwen3 Embedding,LLaVA-OV,5,faces,0.2903346993927444
Qwen3 Embedding,LLaVA-OV,6,faces,0.1734245759228194
Qwen3 Embedding,LLaVA-OV,7,faces,0.1572991246529421
Qwen3 Embedding,LLaVA-OV,8,faces,0.0811636691516928
Qwen3 Embedding,LLaVA-OV,1,bodies,0.3345405042559155
Qwen3 Embedding,LLaVA-OV,2,bodies,0.3293718499827948
Qwen3 Embedding,LLaVA-OV,3,bodies,0.2115865570273931
Qwen3 Embedding,LLaVA-OV,4,bodies,0.2120959846325859
Qwen3 Embedding,LLaVA-OV,5,bodies,0.2928534961527207
Qwen3 Embedding,LLaVA-OV,6,bodies,0.1999321586402176
Qwen3 Embedding,LLaVA-OV,7,bodies,0.2044921253458377
Qwen3 Embedding,LLaVA-OV,8,bodies,0.1082244290381345
Qwen3 Embedding,Phi-4,1,all,0.250798015742866
Qwen3 Embedding,Phi-4,2,all,0.2426309331682701
Qwen3 Embedding,Phi-4,3,all,0.161641024601627
Qwen3 Embedding,Phi-4,4,all,0.1518635377445521
Qwen3 Embedding,Phi-4,5,all,0.2560477210272919
Qwen3 Embedding,Phi-4,6,all,0.1532985226225275
Qwen3 Embedding,Phi-4,7,all,0.1303360358865624
Qwen3 Embedding,Phi-4,8,all,0.0843216463999357
Qwen3 Embedding,Phi-4,1,places,0.1456943768796958
Qwen3 Embedding,Phi-4,2,places,0.1788119935453204
Qwen3 Embedding,Phi-4,3,places,0.1323326526470704
Qwen3 Embedding,Phi-4,4,places,0.1415751898410485
Qwen3 Embedding,Phi-4,5,places,0.213271724344902
Qwen3 Embedding,Phi-4,6,places,0.1524927642417821
Qwen3 Embedding,Phi-4,7,places,0.1386478523468789
Qwen3 Embedding,Phi-4,8,places,0.106739861534252
Qwen3 Embedding,Phi-4,1,faces,0.227009098101742
Qwen3 Embedding,Phi-4,2,faces,0.1624295909843575
Qwen3 Embedding,Phi-4,3,faces,0.1490318079833031
Qwen3 Embedding,Phi-4,4,faces,0.0880608264254743
Qwen3 Embedding,Phi-4,5,faces,0.2936315798209569
Qwen3 Embedding,Phi-4,6,faces,0.1721447602627988
Qwen3 Embedding,Phi-4,7,faces,0.157298576622404
Qwen3 Embedding,Phi-4,8,faces,0.0730034859308861
Qwen3 Embedding,Phi-4,1,bodies,0.331054071302209
Qwen3 Embedding,Phi-4,2,bodies,0.3418237256803398
Qwen3 Embedding,Phi-4,3,bodies,0.2110205455691889
Qwen3 Embedding,Phi-4,4,bodies,0.2079380706459035
Qwen3 Embedding,Phi-4,5,bodies,0.264367303035147
Qwen3 Embedding,Phi-4,6,bodies,0.2005266133838426
Qwen3 Embedding,Phi-4,7,bodies,0.1899964323338823
Qwen3 Embedding,Phi-4,8,bodies,0.1012668265520161
Qwen3 Embedding,Pixtral,1,all,0.257715089923146
Qwen3 Embedding,Pixtral,2,all,0.2222804494399601
Qwen3 Embedding,Pixtral,3,all,0.1723935620557444
Qwen3 Embedding,Pixtral,4,all,0.1509178679558209
Qwen3 Embedding,Pixtral,5,all,0.2455577018257924
Qwen3 Embedding,Pixtral,6,all,0.14393232918786
Qwen3 Embedding,Pixtral,7,all,0.1596024029165588
Qwen3 Embedding,Pixtral,8,all,0.0690220359598985
Qwen3 Embedding,Pixtral,1,places,0.125192811651408
Qwen3 Embedding,Pixtral,2,places,0.1251390850379649
Qwen3 Embedding,Pixtral,3,places,0.1011947027519257
Qwen3 Embedding,Pixtral,4,places,0.1023088700703558
Qwen3 Embedding,Pixtral,5,places,0.1532323622724271
Qwen3 Embedding,Pixtral,6,places,0.1085200450673774
Qwen3 Embedding,Pixtral,7,places,0.0994473981321573
Qwen3 Embedding,Pixtral,8,places,0.0385329848000803
Qwen3 Embedding,Pixtral,1,faces,0.2320336978734041
Qwen3 Embedding,Pixtral,2,faces,0.1244447344934514
Qwen3 Embedding,Pixtral,3,faces,0.1431628040239064
Qwen3 Embedding,Pixtral,4,faces,0.0778159358805853
Qwen3 Embedding,Pixtral,5,faces,0.2647217823502353
Qwen3 Embedding,Pixtral,6,faces,0.1553159760526575
Qwen3 Embedding,Pixtral,7,faces,0.1472060472971801
Qwen3 Embedding,Pixtral,8,faces,0.0824020957490286
Qwen3 Embedding,Pixtral,1,bodies,0.3222955797591785
Qwen3 Embedding,Pixtral,2,bodies,0.2995938540331707
Qwen3 Embedding,Pixtral,3,bodies,0.2145576521040187
Qwen3 Embedding,Pixtral,4,bodies,0.1832216024354303
Qwen3 Embedding,Pixtral,5,bodies,0.2760625895389481
Qwen3 Embedding,Pixtral,6,bodies,0.1792353461494248
Qwen3 Embedding,Pixtral,7,bodies,0.1913278402592992
Qwen3 Embedding,Pixtral,8,bodies,0.1041753452579501
Qwen3 Embedding,Qwen2.5-VL,1,all,0.2625264840145217
Qwen3 Embedding,Qwen2.5-VL,2,all,0.2401537747132156
Qwen3 Embedding,Qwen2.5-VL,3,all,0.1524892659215372
