enc_name,caption_type,participant,roi,acc
Qwen3 Embedding,MS COCO,1,all,0.3781990023031479
Qwen3 Embedding,MS COCO,1,faces,0.3171670451426457
Qwen3 Embedding,MS COCO,1,bodies,0.426182202018091
Qwen3 Embedding,MS COCO,1,places,0.3458724317310631
Qwen3 Embedding,MS COCO,2,all,0.3736851663885693
Qwen3 Embedding,MS COCO,2,faces,0.2922241197984368
Qwen3 Embedding,MS COCO,2,bodies,0.3869530080757592
Qwen3 Embedding,MS COCO,2,places,0.3935542676792212
Qwen3 Embedding,MS COCO,3,all,0.3084593843713376
Qwen3 Embedding,MS COCO,3,faces,0.314384352016208
Qwen3 Embedding,MS COCO,3,bodies,0.3261491050781847
Qwen3 Embedding,MS COCO,3,places,0.2964350105201577
Qwen3 Embedding,MS COCO,4,all,0.3068545560806163
Qwen3 Embedding,MS COCO,4,faces,0.2560636612882109
Qwen3 Embedding,MS COCO,4,bodies,0.324928348178374
Qwen3 Embedding,MS COCO,4,places,0.3019167266051149
Qwen3 Embedding,MS COCO,5,all,0.3866044990630727
Qwen3 Embedding,MS COCO,5,faces,0.3497986748408508
Qwen3 Embedding,MS COCO,5,bodies,0.3765925496539833
Qwen3 Embedding,MS COCO,5,places,0.4361663375281642
Qwen3 Embedding,MS COCO,6,all,0.2989391590919493
Qwen3 Embedding,MS COCO,6,faces,0.3076136161574329
Qwen3 Embedding,MS COCO,6,bodies,0.3225255362011477
Qwen3 Embedding,MS COCO,6,places,0.2710664914165436
Qwen3 Embedding,MS COCO,7,all,0.3113072219237345
Qwen3 Embedding,MS COCO,7,faces,0.2662608304849038
Qwen3 Embedding,MS COCO,7,bodies,0.3400653583727685
Qwen3 Embedding,MS COCO,7,places,0.2911951818375112
Qwen3 Embedding,MS COCO,8,all,0.2357276693228888
Qwen3 Embedding,MS COCO,8,faces,0.231978873248001
Qwen3 Embedding,MS COCO,8,bodies,0.2394529744186555
Qwen3 Embedding,MS COCO,8,places,0.2418236631902607
Qwen3 Embedding,LLaVA-OV,1,all,0.4035591557184451
Qwen3 Embedding,LLaVA-OV,1,faces,0.3318814009471064
Qwen3 Embedding,LLaVA-OV,1,bodies,0.4455336673439946
Qwen3 Embedding,LLaVA-OV,1,places,0.3810289773276457
Qwen3 Embedding,LLaVA-OV,2,all,0.385434100303201
Qwen3 Embedding,LLaVA-OV,2,faces,0.296513615852069
Qwen3 Embedding,LLaVA-OV,2,bodies,0.3979467630278833
Qwen3 Embedding,LLaVA-OV,2,places,0.4102253095301779
Qwen3 Embedding,LLaVA-OV,3,all,0.3240348761114364
Qwen3 Embedding,LLaVA-OV,3,faces,0.3276490232962185
Qwen3 Embedding,LLaVA-OV,3,bodies,0.3404054999648825
Qwen3 Embedding,LLaVA-OV,3,places,0.3149323834861494
Qwen3 Embedding,LLaVA-OV,4,all,0.3248592333859061
Qwen3 Embedding,LLaVA-OV,4,faces,0.272905843034507
Qwen3 Embedding,LLaVA-OV,4,bodies,0.3386329069088715
Qwen3 Embedding,LLaVA-OV,4,places,0.326694095314147
Qwen3 Embedding,LLaVA-OV,5,all,0.4032604604499439
Qwen3 Embedding,LLaVA-OV,5,faces,0.3634109350591039
Qwen3 Embedding,LLaVA-OV,5,bodies,0.3908658597337731
Qwen3 Embedding,LLaVA-OV,5,places,0.4580775007762208
Qwen3 Embedding,LLaVA-OV,6,all,0.3113006633719968
Qwen3 Embedding,LLaVA-OV,6,faces,0.3246691234612318
Qwen3 Embedding,LLaVA-OV,6,bodies,0.3354668132997073
Qwen3 Embedding,LLaVA-OV,6,places,0.2813172568349356
Qwen3 Embedding,LLaVA-OV,7,all,0.3306530787108648
Qwen3 Embedding,LLaVA-OV,7,faces,0.2811296707081003
Qwen3 Embedding,LLaVA-OV,7,bodies,0.3599068157674036
Qwen3 Embedding,LLaVA-OV,7,places,0.3130563103455124
Qwen3 Embedding,LLaVA-OV,8,all,0.2423491156384004
Qwen3 Embedding,LLaVA-OV,8,faces,0.2412912529952459
Qwen3 Embedding,LLaVA-OV,8,bodies,0.2485438495778049
Qwen3 Embedding,LLaVA-OV,8,places,0.2450244369005733
Qwen3 Embedding,Phi-4,1,all,0.3946137858294966
Qwen3 Embedding,Phi-4,1,faces,0.3238761694050948
Qwen3 Embedding,Phi-4,1,bodies,0.438663655426443
Qwen3 Embedding,Phi-4,1,places,0.3694280918517258
Qwen3 Embedding,Phi-4,2,all,0.380265647746397
Qwen3 Embedding,Phi-4,2,faces,0.2927037629253525
Qwen3 Embedding,Phi-4,2,bodies,0.3948544310462391
Qwen3 Embedding,Phi-4,2,places,0.4015025170575978
Qwen3 Embedding,Phi-4,3,all,0.3215041647860677
Qwen3 Embedding,Phi-4,3,faces,0.3292022329608176
Qwen3 Embedding,Phi-4,3,bodies,0.3383303765204268
Qwen3 Embedding,Phi-4,3,places,0.3098343663317747
Qwen3 Embedding,Phi-4,4,all,0.3178564446627799
Qwen3 Embedding,Phi-4,4,faces,0.2653353621320026
Qwen3 Embedding,Phi-4,4,bodies,0.3358819606567725
Qwen3 Embedding,Phi-4,4,places,0.3135655858218064
Qwen3 Embedding,Phi-4,5,all,0.3950841439398302
Qwen3 Embedding,Phi-4,5,faces,0.3579964599697678
Qwen3 Embedding,Phi-4,5,bodies,0.3848609719672687
Qwen3 Embedding,Phi-4,5,places,0.4444405788797667
Qwen3 Embedding,Phi-4,6,all,0.3005201370310773
Qwen3 Embedding,Phi-4,6,faces,0.3175570453175103
Qwen3 Embedding,Phi-4,6,bodies,0.3247496450809026
Qwen3 Embedding,Phi-4,6,places,0.2691410179550359
Qwen3 Embedding,Phi-4,7,all,0.3233349323900618
Qwen3 Embedding,Phi-4,7,faces,0.2700035142659057
Qwen3 Embedding,Phi-4,7,bodies,0.3522588519992075
Qwen3 Embedding,Phi-4,7,places,0.3065402026689858
Qwen3 Embedding,Phi-4,8,all,0.2398547399606871
Qwen3 Embedding,Phi-4,8,faces,0.2346162282119984
Qwen3 Embedding,Phi-4,8,bodies,0.2458858105612311
Qwen3 Embedding,Phi-4,8,places,0.2442920616250373
Qwen3 Embedding,Pixtral,1,all,0.4154297552517551
Qwen3 Embedding,Pixtral,1,faces,0.3423848993979491
Qwen3 Embedding,Pixtral,1,bodies,0.4502691315704459
Qwen3 Embedding,Pixtral,1,places,0.402177207595332
Qwen3 Embedding,Pixtral,2,all,0.3987644176709817
Qwen3 Embedding,Pixtral,2,faces,0.3053945592186759
Qwen3 Embedding,Pixtral,2,bodies,0.4131461735202287
Qwen3 Embedding,Pixtral,2,places,0.4226483877298207
Qwen3 Embedding,Pixtral,3,all,0.3326335204356485
