enc_name,caption_type,participant,rs
Qwen3 Embedding,MS COCO,1,0.1886888332153344
Qwen3 Embedding,MS COCO,2,0.2009914930399275
Qwen3 Embedding,MS COCO,3,0.1484608667931186
Qwen3 Embedding,MS COCO,4,0.1765293793909306
Qwen3 Embedding,MS COCO,5,0.2131977253431481
Qwen3 Embedding,MS COCO,6,0.2996547935189362
Qwen3 Embedding,MS COCO,7,0.2485876895221634
Qwen3 Embedding,MS COCO,8,0.1808438094842681
Qwen3 Embedding,LLaVA-OV,1,0.2167796420144032
Qwen3 Embedding,LLaVA-OV,2,0.2058452461167278
Qwen3 Embedding,LLaVA-OV,3,0.1738804382675144
Qwen3 Embedding,LLaVA-OV,4,0.2065613680952004
Qwen3 Embedding,LLaVA-OV,5,0.223663817188011
Qwen3 Embedding,LLaVA-OV,6,0.3507444167103723
Qwen3 Embedding,LLaVA-OV,7,0.3261789489002558
Qwen3 Embedding,LLaVA-OV,8,0.227384177429534
Qwen3 Embedding,Phi-4,1,0.2193264986145832
Qwen3 Embedding,Phi-4,2,0.2028448317967982
Qwen3 Embedding,Phi-4,3,0.1582044642136635
Qwen3 Embedding,Phi-4,4,0.2412351188219908
Qwen3 Embedding,Phi-4,5,0.1887828702069653
Qwen3 Embedding,Phi-4,6,0.3462787245850927
Qwen3 Embedding,Phi-4,7,0.3186467225871514
Qwen3 Embedding,Phi-4,8,0.2159399525205836
Qwen3 Embedding,Pixtral,1,0.2839320297902819
Qwen3 Embedding,Pixtral,2,0.2241841057992177
Qwen3 Embedding,Pixtral,3,0.2500697762780321
Qwen3 Embedding,Pixtral,4,0.2727091742146271
Qwen3 Embedding,Pixtral,5,0.2994741750067369
Qwen3 Embedding,Pixtral,6,0.4270404489168189
Qwen3 Embedding,Pixtral,7,0.3529539818696686
Qwen3 Embedding,Pixtral,8,0.2760648545152627
Qwen3 Embedding,Qwen2.5-VL,1,0.2149339982765138
Qwen3 Embedding,Qwen2.5-VL,2,0.231184054142192
Qwen3 Embedding,Qwen2.5-VL,3,0.2400196159049368
Qwen3 Embedding,Qwen2.5-VL,4,0.2889185765087426
Qwen3 Embedding,Qwen2.5-VL,5,0.293959069110995
Qwen3 Embedding,Qwen2.5-VL,6,0.3574204763299995
Qwen3 Embedding,Qwen2.5-VL,7,0.2969943761210671
Qwen3 Embedding,Qwen2.5-VL,8,0.245758238186783
Qwen3 Embedding,Molmo,1,0.271937305581369
Qwen3 Embedding,Molmo,2,0.1988870875032765
Qwen3 Embedding,Molmo,3,0.1922098397235607
Qwen3 Embedding,Molmo,4,0.2736046625098463
Qwen3 Embedding,Molmo,5,0.2461575163900164
Qwen3 Embedding,Molmo,6,0.3914875967930284
Qwen3 Embedding,Molmo,7,0.2499625793085552
Qwen3 Embedding,Molmo,8,0.2350669651288691
Kalm Embedding,MS COCO,1,0.2475375804117661
Kalm Embedding,MS COCO,2,0.1754375543138987
Kalm Embedding,MS COCO,3,0.1375224166343665
Kalm Embedding,MS COCO,4,0.2261327183102325
Kalm Embedding,MS COCO,5,0.2461619661168205
Kalm Embedding,MS COCO,6,0.2614455848287151
Kalm Embedding,MS COCO,7,0.1754875871573749
Kalm Embedding,MS COCO,8,0.1617612262041751
Kalm Embedding,LLaVA-OV,1,0.2597532509218018
Kalm Embedding,LLaVA-OV,2,0.2123706955857779
Kalm Embedding,LLaVA-OV,3,0.1791583972838229
Kalm Embedding,LLaVA-OV,4,0.2040442933513814
Kalm Embedding,LLaVA-OV,5,0.2564482644174324
Kalm Embedding,LLaVA-OV,6,0.3336470553578739
Kalm Embedding,LLaVA-OV,7,0.2474184193542005
Kalm Embedding,LLaVA-OV,8,0.2090916771965169
Kalm Embedding,Phi-4,1,0.2647741709700544
Kalm Embedding,Phi-4,2,0.1826741084604878
Kalm Embedding,Phi-4,3,0.1673204459737522
Kalm Embedding,Phi-4,4,0.2338843139556469
Kalm Embedding,Phi-4,5,0.2665963758290815
Kalm Embedding,Phi-4,6,0.3171984408235225
Kalm Embedding,Phi-4,7,0.2589679524907369
Kalm Embedding,Phi-4,8,0.1704584810609114
Kalm Embedding,Pixtral,1,0.3108389401117917
Kalm Embedding,Pixtral,2,0.2296332993057001
Kalm Embedding,Pixtral,3,0.2121141230820798
Kalm Embedding,Pixtral,4,0.2463645496590225
Kalm Embedding,Pixtral,5,0.3383195929794987
Kalm Embedding,Pixtral,6,0.3599827907056065
Kalm Embedding,Pixtral,7,0.3040043326161546
Kalm Embedding,Pixtral,8,0.2386598598159635
Kalm Embedding,Qwen2.5-VL,1,0.2357042940054599
Kalm Embedding,Qwen2.5-VL,2,0.2386986100582656
Kalm Embedding,Qwen2.5-VL,3,0.2087000296064077
Kalm Embedding,Qwen2.5-VL,4,0.2722371271635419
Kalm Embedding,Qwen2.5-VL,5,0.308546225032741
Kalm Embedding,Qwen2.5-VL,6,0.341183325909702
Kalm Embedding,Qwen2.5-VL,7,0.3159432404363606
Kalm Embedding,Qwen2.5-VL,8,0.2280989735201912
Kalm Embedding,Molmo,1,0.2681109278748737
Kalm Embedding,Molmo,2,0.2107390379898496
Kalm Embedding,Molmo,3,0.2103698166150293
Kalm Embedding,Molmo,4,0.2236281292054566
Kalm Embedding,Molmo,5,0.3058732040634272
Kalm Embedding,Molmo,6,0.3088726975655679
Kalm Embedding,Molmo,7,0.2311563162741448
Kalm Embedding,Molmo,8,0.2523923598384129
BERT,MS COCO,1,0.1703080141166109
BERT,MS COCO,2,0.1214020790677922
BERT,MS COCO,3,0.0461485498457746
BERT,MS COCO,4,0.0984525897042455
BERT,MS COCO,5,0.1136591444881011
BERT,MS COCO,6,0.186908201281778
BERT,MS COCO,7,0.1806790060987994
BERT,MS COCO,8,0.0701923193032493
BERT,LLaVA-OV,1,0.1802612966444851
BERT,LLaVA-OV,2,0.165384842829567
BERT,LLaVA-OV,3,0.0966426921953756
BERT,LLaVA-OV,4,0.1684582400346452
BERT,LLaVA-OV,5,0.1985255964337604
BERT,LLaVA-OV,6,0.2078249050567367
BERT,LLaVA-OV,7,0.2334370199051537
BERT,LLaVA-OV,8,0.1879007877469154
BERT,Phi-4,1,0.155743675555722
BERT,Phi-4,2,0.1612427451940069
BERT,Phi-4,3,0.1230680063516806
BERT,Phi-4,4,0.2556275636585601
BERT,Phi-4,5,0.2022876932754046
BERT,Phi-4,6,0.26277725601217
BERT,Phi-4,7,0.2721438828574942
BERT,Phi-4,8,0.1890494274398814
BERT,Pixtral,1,0.2351683042946527
BERT,Pixtral,2,0.1900972308555493
BERT,Pixtral,3,0.0893004122529062
BERT,Pixtral,4,0.2198647526637235
BERT,Pixtral,5,0.2434393328309753
BERT,Pixtral,6,0.2840827860992436
BERT,Pixtral,7,0.2931412990023473
BERT,Pixtral,8,0.2211290251864495
BERT,Qwen2.5-VL,1,0.1920393033073674
BERT,Qwen2.5-VL,2,0.1347983584153669
BERT,Qwen2.5-VL,3,0.1426485073413202
BERT,Qwen2.5-VL,4,0.2308167428537276
BERT,Qwen2.5-VL,5,0.2250166205539892
BERT,Qwen2.5-VL,6,0.20319425736645
BERT,Qwen2.5-VL,7,0.2318315804914455
BERT,Qwen2.5-VL,8,0.1172512258320781
BERT,Molmo,1,0.2050679673841306
BERT,Molmo,2,0.1898102141024278
BERT,Molmo,3,0.1233316759605175
BERT,Molmo,4,0.1855969992677062
BERT,Molmo,5,0.2095557233595239
BERT,Molmo,6,0.249332660133708
BERT,Molmo,7,0.2172387570390986
