model_name,training_type,participant,roi,acc
ResNet50,ImageNet,1,all,0.41982594424314923
ResNet50,ImageNet,1,faces,0.3552274192043706
ResNet50,ImageNet,1,bodies,0.4417381919379159
ResNet50,ImageNet,1,places,0.41844188045820413
ResNet50,ImageNet,2,all,0.41080027038696854
ResNet50,ImageNet,2,faces,0.32784925787739533
ResNet50,ImageNet,2,bodies,0.409770928206836
ResNet50,ImageNet,2,places,0.45009396126058654
ResNet50,ImageNet,3,all,0.3426982647808175
ResNet50,ImageNet,3,faces,0.34430971154490236
ResNet50,ImageNet,3,bodies,0.34983482963588025
ResNet50,ImageNet,3,places,0.3464628384055813
ResNet50,ImageNet,4,all,0.3429413982500363
ResNet50,ImageNet,4,faces,0.2944682838107352
ResNet50,ImageNet,4,bodies,0.34279937525309395
ResNet50,ImageNet,4,places,0.3624319250205856
ResNet50,ImageNet,5,all,0.42039209863740135
ResNet50,ImageNet,5,faces,0.38629873407068593
ResNet50,ImageNet,5,bodies,0.3989511825353197
ResNet50,ImageNet,5,places,0.48864728600834934
ResNet50,ImageNet,6,all,0.3326119507553964
ResNet50,ImageNet,6,faces,0.340077776257002
ResNet50,ImageNet,6,bodies,0.3424289475383658
ResNet50,ImageNet,6,places,0.32414119005904707
ResNet50,ImageNet,7,all,0.3463137567177221
ResNet50,ImageNet,7,faces,0.29424152872624704
ResNet50,ImageNet,7,bodies,0.3642812231722111
ResNet50,ImageNet,7,places,0.3442929615211633
ResNet50,ImageNet,8,all,0.2596955384414406
ResNet50,ImageNet,8,faces,0.2599494759075036
ResNet50,ImageNet,8,bodies,0.2547718404057106
ResNet50,ImageNet,8,places,0.2744637466788547
ResNet50,CLIP,1,all,0.43328951258316395
ResNet50,CLIP,1,faces,0.3625691316565689
ResNet50,CLIP,1,bodies,0.4587786692215773
ResNet50,CLIP,1,places,0.42980314392072055
ResNet50,CLIP,2,all,0.4223912041233763
ResNet50,CLIP,2,faces,0.3327823311376812
ResNet50,CLIP,2,bodies,0.4254380946580525
ResNet50,CLIP,2,places,0.4593526425660854
ResNet50,CLIP,3,all,0.35191779073996304
ResNet50,CLIP,3,faces,0.3603485408049697
ResNet50,CLIP,3,bodies,0.36181848678656636
ResNet50,CLIP,3,places,0.34948964074180283
ResNet50,CLIP,4,all,0.3509484661272684
ResNet50,CLIP,4,faces,0.30345614969106477
ResNet50,CLIP,4,bodies,0.3527028849673334
ResNet50,CLIP,4,places,0.36637319915260674
ResNet50,CLIP,5,all,0.4339364268835014
ResNet50,CLIP,5,faces,0.4050319741339337
ResNet50,CLIP,5,bodies,0.41406167898297513
ResNet50,CLIP,5,places,0.4976322278865705
ResNet50,CLIP,6,all,0.3418353238616841
ResNet50,CLIP,6,faces,0.35545165029696174
ResNet50,CLIP,6,bodies,0.35503929790238054
ResNet50,CLIP,6,places,0.3263925977538361
ResNet50,CLIP,7,all,0.3599698909168269
ResNet50,CLIP,7,faces,0.30511142497684246
ResNet50,CLIP,7,bodies,0.3789125812623764
ResNet50,CLIP,7,places,0.3576223592566338
ResNet50,CLIP,8,all,0.2651890731299087
ResNet50,CLIP,8,faces,0.270164408330411
ResNet50,CLIP,8,bodies,0.2618379505756707
ResNet50,CLIP,8,places,0.27600387140169297
ResNet50,DINO,1,all,0.4169791280821112
ResNet50,DINO,1,faces,0.3499360395764346
ResNet50,DINO,1,bodies,0.4377743487041839
ResNet50,DINO,1,places,0.4167024587778973
ResNet50,DINO,2,all,0.4069922608771413
ResNet50,DINO,2,faces,0.3217683159472988
ResNet50,DINO,2,bodies,0.4076250190027466
ResNet50,DINO,2,places,0.44410016203492764
ResNet50,DINO,3,all,0.3409169497367075
ResNet50,DINO,3,faces,0.34345676386545576
ResNet50,DINO,3,bodies,0.3488371438656141
ResNet50,DINO,3,places,0.34287384065538756
ResNet50,DINO,4,all,0.3408833325939103
ResNet50,DINO,4,faces,0.2934480927360882
ResNet50,DINO,4,bodies,0.3391617926793591
ResNet50,DINO,4,places,0.3608413454334912
ResNet50,DINO,5,all,0.4226263387958219
ResNet50,DINO,5,faces,0.38975464657000497
ResNet50,DINO,5,bodies,0.4014834008892911
ResNet50,DINO,5,places,0.4877462986351449
ResNet50,DINO,6,all,0.32709327004503413
ResNet50,DINO,6,faces,0.3335947655342721
ResNet50,DINO,6,bodies,0.33727126362277715
ResNet50,DINO,6,places,0.31773934845163043
ResNet50,DINO,7,all,0.3469140386782551
ResNet50,DINO,7,faces,0.2980132454223339
ResNet50,DINO,7,bodies,0.36559165991034887
ResNet50,DINO,7,places,0.34245217759073066
ResNet50,DINO,8,all,0.25740226475734074
ResNet50,DINO,8,faces,0.25819871448845944
ResNet50,DINO,8,bodies,0.2523573392319317
ResNet50,DINO,8,places,0.27129262212835487
ViT,ImageNet,1,all,0.4140542747244432
ViT,ImageNet,1,faces,0.3444448826284061
ViT,ImageNet,1,bodies,0.43144376179968547
ViT,ImageNet,1,places,0.4189024669300426
ViT,ImageNet,2,all,0.40057907093231016
ViT,ImageNet,2,faces,0.31001881897904493
ViT,ImageNet,2,bodies,0.3976227372342457
ViT,ImageNet,2,places,0.44564417409176116
ViT,ImageNet,3,all,0.3379585392648281
ViT,ImageNet,3,faces,0.3362573414921041
ViT,ImageNet,3,bodies,0.3443933480792472
ViT,ImageNet,3,places,0.34314966166553473
ViT,ImageNet,4,all,0.33519099451343815
ViT,ImageNet,4,faces,0.28144475426937826
ViT,ImageNet,4,bodies,0.33289682854763525
ViT,ImageNet,4,places,0.3595097820789219
ViT,ImageNet,5,all,0.41080944788653234
ViT,ImageNet,5,faces,0.37033402198011545
ViT,ImageNet,5,bodies,0.38697665100601414
ViT,ImageNet,5,places,0.4856973226161838
ViT,ImageNet,6,all,0.32674577294260454
ViT,ImageNet,6,faces,0.3251336486521747
ViT,ImageNet,6,bodies,0.3344450415254896
ViT,ImageNet,6,places,0.3234669563829201
ViT,ImageNet,7,all,0.344285072022754
ViT,ImageNet,7,faces,0.28972763500430365
ViT,ImageNet,7,bodies,0.36133791028451095
ViT,ImageNet,7,places,0.3449465602161698
ViT,ImageNet,8,all,0.2569379115881871
ViT,ImageNet,8,faces,0.24970211774858805
ViT,ImageNet,8,bodies,0.25281945820727836
ViT,ImageNet,8,places,0.27319892481346303
ViT,CLIP,1,all,0.42642953226696456
ViT,CLIP,1,faces,0.3559374396423278
ViT,CLIP,1,bodies,0.4484561277855593
ViT,CLIP,1,places,0.42664817716005143
ViT,CLIP,2,all,0.4137372007477927
ViT,CLIP,2,faces,0.3215479385194625
ViT,CLIP,2,bodies,0.4163732010938216
ViT,CLIP,2,places,0.45290703110212766
ViT,CLIP,3,all,0.34386137620809143
ViT,CLIP,3,faces,0.3444013530056898
ViT,CLIP,3,bodies,0.3518211164612491
ViT,CLIP,3,places,0.3466353813860286
ViT,CLIP,4,all,0.3447807384420088
ViT,CLIP,4,faces,0.29565664814194265
ViT,CLIP,4,bodies,0.3447027296950358
ViT,CLIP,4,places,0.36403638402960087
ViT,CLIP,5,all,0.42219615370883307
ViT,CLIP,5,faces,0.3895360927660003
ViT,CLIP,5,bodies,0.4009562619273881
ViT,CLIP,5,places,0.48939945184270056
ViT,CLIP,6,all,0.335892560299594
ViT,CLIP,6,faces,0.3404297601609003
ViT,CLIP,6,bodies,0.34490785662489143
ViT,CLIP,6,places,0.32839113516873536
ViT,CLIP,7,all,0.3533518032235643
ViT,CLIP,7,faces,0.299675846412241
ViT,CLIP,7,bodies,0.3745170743995832
ViT,CLIP,7,places,0.3476773583328105
ViT,CLIP,8,all,0.2615803207842493
ViT,CLIP,8,faces,0.25766440885230557
ViT,CLIP,8,bodies,0.2580811450326561
ViT,CLIP,8,places,0.2763617376975994
ViT,DINO,1,all,0.4265709180521248
ViT,DINO,1,faces,0.3554455758107349
ViT,DINO,1,bodies,0.4484989573725984
ViT,DINO,1,places,0.426669698256726
ViT,DINO,2,all,0.41324349978482977
ViT,DINO,2,faces,0.3209266795634862
ViT,DINO,2,bodies,0.4116386740057318
ViT,DINO,2,places,0.45756699484662416
ViT,DINO,3,all,0.3409302638974015
ViT,DINO,3,faces,0.3351249551090335
ViT,DINO,3,bodies,0.34646608818664243
ViT,DINO,3,places,0.348670135251927
ViT,DINO,4,all,0.34228801847645385
ViT,DINO,4,faces,0.2903205796015761
ViT,DINO,4,bodies,0.34192004634493894
ViT,DINO,4,places,0.3633565135912231
ViT,DINO,5,all,0.4181250810825233
ViT,DINO,5,faces,0.3794119726577548
ViT,DINO,5,bodies,0.39560287104190023
ViT,DINO,5,places,0.4899358558575822
